pulse,lambda_q_far,lambda_q_far_error,q_para0_far,q_para0_far_error,n_points_far,Chi2_far,lambda_q_near,lambda_q_near_error,q_para0_near,q_para0_near_error,n_points_near,Chi2_near,q_para0_ratio,lambda_q_ratio,I_p,I_p_error,n_e ,n_e_error,P_sol,P_sol_error,P_nbi ,P_nbi_error
82056,34.9,0.7,7.26,0.08,651,0.292,13.6,1.8,9.86,0.33,132,0.294,1.36,0.39,2.439,0.001,6.7,0.03,2.42,0.06,1.09,0.01
82057,25.9,0.7,8.31,0.13,532,0.33,13.5,1.2,10.58,0.2,251,0.584,1.27,0.52,2.439,0.001,6.59,0.03,2.45,0.04,1.09,0.01
82059,26.2,0.7,7.94,0.13,523,0.306,6.9,0.3,16.26,0.27,260,1.0,2.05,0.26,1.9480000000000002,0.001,6.61,0.03,2.0,0.05,1.09,0.01
82060,21.4,0.6,11.22,0.19,491,0.525,5.1,0.2,24.35,0.48,292,2.57,2.17,0.24,1.954,0.001,6.82,0.03,2.89,0.07,2.29,0.04
82060,22.0,0.6,11.14,0.19,491,0.536,4.8,0.2,25.61,0.51,292,2.75,2.3,0.22,1.952,0.001,6.74,0.02,2.9,0.05,2.29,0.04
82061,22.0,0.6,14.84,0.25,511,0.924,5.5,0.2,32.26,0.59,272,4.46,2.17,0.25,1.9569999999999999,0.001,6.9,0.02,3.77,0.07,3.42,0.05
82062,21.5,0.5,5.82,0.1,514,0.142,5.3,0.2,13.88,0.23,269,0.584,2.38,0.25,1.94,0.001,6.75,0.03,1.26,0.05,3.42,0.05
80831,31.0,1.1,4.84,0.08,473,0.172,8.6,0.9,7.51,0.22,177,0.31,1.55,0.28,2.435,0.001,5.54,0.03,1.46,0.07,0.0,0.0
80832,26.9,0.9,4.22,0.07,464,0.126,6.7,0.6,7.26,0.22,186,0.33,1.72,0.25,2.436,0.001,5.48,0.09,1.46,0.03,0.0,0.0
80833,29.8,1.0,4.37,0.07,478,0.131,7.6,0.8,7.69,0.23,172,0.308,1.76,0.26,2.437,0.001,5.48,0.09,1.42,0.05,0.0,0.0
80834,26.8,0.8,4.63,0.07,456,0.113,6.5,0.6,8.23,0.25,194,0.45399999999999996,1.78,0.24,2.434,0.001,5.64,0.02,1.54,0.08,0.0,0.0
80835,29.0,0.8,4.94,0.06,477,0.12300000000000001,7.8,0.8,8.33,0.25,173,0.358,1.69,0.27,2.435,0.001,5.56,0.02,1.52,0.07,0.0,0.0
80836,30.4,1.0,4.58,0.06,457,0.113,8.3,0.8,7.36,0.19,193,0.306,1.61,0.27,2.434,0.001,3.97,0.02,1.54,0.09,0.0,0.0
80837,33.0,1.3,3.75,0.06,439,0.0913,4.7,0.3,8.69,0.23,211,0.436,2.32,0.14,1.9469999999999998,0.001,3.83,0.02,1.08,0.06,0.0,0.0
80838,36.8,1.6,3.2,0.05,464,0.0833,5.0,0.3,7.6,0.2,186,0.23199999999999998,2.38,0.14,1.7009999999999998,0.001,3.79,0.02,0.89,0.03,0.0,0.0
80930,76.8,7.0,2.6,0.04,434,0.069,7.2,0.5,4.38,0.09,216,0.0968,1.68,0.09,1.454,0.001,3.78,0.02,0.71,0.05,0.0,0.0
80931,89.4,8.2,2.44,0.04,464,0.0614,7.0,0.5,4.55,0.1,186,0.0775,1.86,0.08,1.455,0.001,3.81,0.02,0.73,0.07,0.0,0.0
80932,71.8,5.9,2.56,0.04,415,0.0503,5.9,0.4,4.9,0.1,235,0.141,1.91,0.08,1.454,0.001,3.83,0.01,0.77,0.04,0.0,0.0
80933,78.0,5.7,2.53,0.03,454,0.0477,6.1,0.4,5.24,0.12,196,0.11800000000000001,2.07,0.08,1.454,0.001,3.86,0.01,0.69,0.04,0.0,0.0
80933,90.1,7.5,2.36,0.03,454,0.0418,5.7,0.4,5.03,0.12,196,0.11199999999999999,2.13,0.06,1.45,0.001,3.84,0.01,0.73,0.05,0.0,0.0
80934,72.5,6.1,2.09,0.03,426,0.0369,4.7,0.3,5.11,0.12,224,0.142,2.45,0.06,1.206,0.001,3.81,0.02,0.58,0.05,0.0,0.0
80936,26.3,0.7,5.94,0.08,478,0.15,7.0,0.6,11.46,0.34,172,0.605,1.93,0.27,2.436,0.001,6.75,0.06,1.67,0.06,0.0,0.0
80938,22.5,0.6,5.82,0.08,454,0.128,5.6,0.4,11.8,0.34,196,0.858,2.03,0.25,2.436,0.001,6.78,0.06,1.59,0.05,0.0,0.0
81003,29.7,1.1,4.96,0.08,457,0.179,5.2,0.4,10.55,0.31,193,0.631,2.13,0.18,2.436,0.001,6.73,0.04,1.66,0.02,0.0,0.0
81004,27.4,0.9,5.03,0.08,469,0.165,4.9,0.4,11.74,0.39,181,0.78,2.33,0.18,2.436,0.001,6.67,0.03,1.6,0.04,0.0,0.0
81005,25.3,0.9,5.09,0.09,457,0.17800000000000002,4.4,0.3,13.16,0.43,193,1.07,2.59,0.18,2.436,0.001,6.74,0.04,1.62,0.05,0.0,0.0
81007,23.4,0.7,5.08,0.08,461,0.16,4.3,0.3,13.67,0.46,189,1.14,2.69,0.18,2.436,0.001,6.68,0.05,1.67,0.05,0.0,0.0
81007,27.7,1.0,4.63,0.07,461,0.142,3.7,0.3,15.31,0.59,189,1.64,3.3,0.13,2.427,0.001,6.5,0.03,1.6,0.04,0.0,0.0
81008,21.1,0.6,5.28,0.09,456,0.162,4.0,0.3,15.17,0.54,194,1.56,2.88,0.19,2.437,0.001,6.7,0.05,1.61,0.03,0.0,0.0
81012,22.3,0.6,6.21,0.09,477,0.19399999999999998,5.4,0.4,15.56,0.47,173,1.05,2.51,0.24,2.436,0.001,7.88,0.09,1.76,0.06,0.0,0.0
81013,22.0,0.6,4.77,0.07,473,0.10099999999999999,7.7,0.8,7.95,0.26,177,0.40399999999999997,1.67,0.35,2.441,0.001,3.9,0.06,1.59,0.05,0.0,0.0
81013,43.2,1.8,3.16,0.04,473,0.0666,8.3,1.0,5.3,0.18,177,0.20800000000000002,1.68,0.19,2.43,0.001,2.41,0.02,1.51,0.07,0.0,0.0
81014,19.9,0.5,6.29,0.1,452,0.182,3.9,0.3,19.17,0.63,198,2.23,3.05,0.2,2.436,0.001,7.9,0.1,1.74,0.05,0.0,0.0
81015,17.6,0.4,6.94,0.11,469,0.205,4.3,0.3,20.61,0.7,181,2.3,2.97,0.24,2.437,0.001,7.86,0.12,1.75,0.06,0.0,0.0
